						
						
						
WinLoc	SILID	Nominal Unicode Mapping	Other possible CP1252 locations	Mapping Comments	Nominal Non-spacing Mappings	Non-spacing Mapping Comments
V148	1735	0292		See also U+021D and U+04E1.		
X033	1801	1D43		New in Unicode 4.0. "See also U+00AA. The glyph used for U+00AA in some fonts has an underline. We need to evaluate whether a separate Unicode character should be used for phonetic transcriptions. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1801 should probably be mapped to the non-superscript character U+0061."	0363	New in Unicode 3.2. 
X048	1803	1D47		New in Unicode 4.0.		
X057	1804	1D9C		New in Unicode 4.0.	0368	New in Unicode 3.2. 
X068	1805	1D48		New in Unicode 4.0.	0369	New in Unicode 3.2. 
X084	1806	1D49		New in Unicode 4.0.	0364	New in Unicode 3.2. 
X102	1808	1DA0		New in Unicode 4.0.		
X115	1809	1D4D		New in Unicode 4.0.		
X123	1810	02B0		"For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1810 should probably be mapped to the non-superscript character U+0068."	036A	New in Unicode 3.2. 
X138	1811	2071		"New in Unicode 3.2. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1811 should probably be mapped to the non-superscript character U+0069."	0365	New in Unicode 3.2. 
X153	1813	02B2		"For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1813 should probably be mapped to the non-superscript character U+006A."		
X163	1814	1D4F		New in Unicode 4.0.		
X169	1815	02E1		"For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1815 should probably be mapped to the non-superscript character U+006C."		
X187	1817	1D50		New in Unicode 4.0.	036B	New in Unicode 3.2. 
X194	1818	207F		"For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1818 should probably be mapped to the non-superscript character U+006E."		
X211	1819	1D52		New in Unicode 4.0. "See also U+00BA. The glyph used for U+00BA in some fonts has an underline. We need to evaluate whether a separate Unicode character should be used for phonetic transcriptions. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1819 should probably be mapped to the non-superscript character U+006F."	0366	New in Unicode 3.2. 
X230	1820	1D56		New in Unicode 4.0.		
X237	1821	PUA		"If distinct superscript and non-superscript characters are needed for phonetic or phonemic usage, a new character should be proposed for Unicode. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1821 should probably be mapped to the non-superscript character U+0071."		
X241	1822	02B3		"For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1822 should probably be mapped to the non-superscript character U+0072."	036C	New in Unicode 3.2. 
Y038	1823	02E2		"For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1823 should probably be mapped to the non-superscript character U+0073."		
Y045	1824	1D98		New in Unicode 4.1.		
Y050	1826	1D57		New in Unicode 4.0.	036D	New in Unicode 3.2. 
Y064	1827	1D58		New in Unicode 4.0.	0367	New in Unicode 3.2. 
Y080	1829	1D5B		New in Unicode 4.0.	036E	New in Unicode 3.2. 
Y100	1830	02B7		"For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1830 should probably be mapped to the non-superscript character U+0077."		
Y108	1832	02E3		"For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1832 should probably be mapped to the non-superscript character U+0078."	036F	New in Unicode 3.2. See also U+033D.
Y112	1833	02B8		"For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1833 should probably be mapped to the non-superscript character U+0079."		
Y122	1834	1DBB		New in Unicode 4.1.		
Y201	1841	02E4		"See also U+02C1. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1841 should probably be mapped to the non-superscript character U+0295."		
X086	1851	1D4A		New in Unicode 4.0.		
X093	1852	1B9F		New in Unicode 4.1.		
X125	1853	02B1		"For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1853 should probably be mapped to the non-superscript character U+0266."		
X143	1854	1DA4		"If distinct superscript and non-superscript characters are needed for phonetic or phonemic usage, a new character should be proposed for Unicode. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1854 should probably be mapped to the non-superscript character U+0268."		
X148	1855	1DA6		"If distinct superscript and non-superscript characters are needed for phonetic or phonemic usage, a new character should be proposed for Unicode. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1855 should probably be mapped to the non-superscript character U+026A."		
X189	1856	1DAC		"If distinct superscript and non-superscript characters are needed for phonetic or phonemic usage, a new character should be proposed for Unicode. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1856 should probably be mapped to the non-superscript character U+0271."		
X191	1857	1D5A		"If distinct superscript and non-superscript characters are needed for phonetic or phonemic usage, a new character should be proposed for Unicode. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1857 should probably be mapped to the non-superscript character U+026F."		
X198	1858	1DAF		"If distinct superscript and non-superscript characters are needed for phonetic or phonemic usage, a new character should be proposed for Unicode. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1858 should probably be mapped to the non-superscript character U+0273."		
X200	1859	1DAE		"If distinct superscript and non-superscript characters are needed for phonetic or phonemic usage, a new character should be proposed for Unicode. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1859 should probably be mapped to the non-superscript character U+0272."		
X196	1860	1D51		"If distinct superscript and non-superscript characters are needed for phonetic or phonemic usage, a new character should be proposed for Unicode. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1860 should probably be mapped to the non-superscript character U+014B."		
X206	1861	1DB0		"If distinct superscript and non-superscript characters are needed for phonetic or phonemic usage, a new character should be proposed for Unicode. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1861 should probably be mapped to the non-superscript character U+0274."		
X215	1862	1DB1		"If distinct superscript and non-superscript characters are needed for phonetic or phonemic usage, a new character should be proposed for Unicode. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1862 should probably be mapped to the non-superscript character U+0275."		
X213	1863	PUA		"If distinct superscript and non-superscript characters are needed for phonetic or phonemic usage, a new character should be proposed for Unicode. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1863 should probably be mapped to the non-superscript character U+00F8. See also PUA codepoint U+F1AB."		
Y066	1864	1DB6		"If distinct superscript and non-superscript characters are needed for phonetic or phonemic usage, a new character should be proposed for Unicode. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1864 should probably be mapped to the non-superscript character U+0289."		
Y071	1865	1DB7		"If distinct superscript and non-superscript characters are needed for phonetic or phonemic usage, a new character should be proposed for Unicode. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1865 should probably be mapped to the non-superscript character U+028A."		
Y093	1866	PUA		"If distinct superscript and non-superscript characters are needed for phonetic or phonemic usage, a new character should be proposed for Unicode. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1866 should probably be mapped to the non-superscript character U+0264. See also PUA codepoint U+F1B5."		
Y119	1867	PUA		"If distinct superscript and non-superscript characters are needed for phonetic or phonemic usage, a new character should be proposed for Unicode. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1867 should probably be mapped to the non-superscript character U+028F. See also PUA codepoint U+F1B4."		
X034	1901	00AA				
X075	1905	0221		New in Unicode 4.0.		
X110	1908	0066 + 0066 + 006C		"This might also be mapped to U+FB04, though use of that character is best avoided."		
X109	1909	0066 + 0066 + 0069		"This might also be mapped to U+FB03, though use of that character is best avoided."		
X111	1910	0066 + 0066		"This might also be mapped to U+FB00, though use of that character is best avoided."		
X177	1915	2C61		New in Unicode 5.0	
X202	1918	PUA				
X212	1919	00BA				
X242	1922	027C				
Y055	1926	0236		New in Unicode 4.0.		
Y081	1929	0076		See also U+2174.	036E	New in Unicode 3.2. 
Y088	1933	02E0		"For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1933 should probably be mapped to the non-superscript character U+0263."		
Y198	1941	PUA		"See also U+02C0. For non-phonetic/phonemic usage, or in phonetic/phonemic usage where superscripting is not used to reflect a phonetic/phonemic distinction, Encore glyph SILID 1841 should probably be mapped to the non-superscript character U+0294."		
X105	1958	PUA				
X219	1969	03C3		Unicode does not have any Latin or Cyrillic characters corresponding to the shape of Encore glyph SILID 1969. The only character with a similar shape is U+03C3 GREEK SMALL LETTER SIGMA.		
Y089	1994	0263		"If distinct subscript and non-superscript characters are needed, Encore glyph SILID 1994 should be mapped to a PUA character. In most situations, subscripting should be handled using markup or formatting."		
Y101	1995	0077		"If distinct subscript and non-superscript characters are needed, Encore glyph SILID 1995 should be mapped to a PUA character. In most situations, subscripting should be handled using markup or formatting."		
Y104	1996	0077		"If a distinct character is required, Encore glyph SILID 1996 should be mapped to a PUA character."		
X042	1997	03B1				
Wn181	1998	00B5		See also U+03BC.		
Wn131	1999	0192				
Wn065	2001	0041		See also U+0391 and U+0410.		
X045	2002	2C6D	41	New in Unicode 5.1. Possible mappings include U+0041 and U+2C6D	
Wn066	2003	0042		See also U+0392 and U+0412.		
Wn067	2004	0043		See also U+216D.		
Wn068	2005	0044		See also U+216E.		
Wn069	2006	0045		See also U+0395 and U+0415.		
X101	2007	0190		See also U+2107.		
Wn070	2008	0046				
Wn071	2009	0047				
Wn072	2010	0048		See also U+041D		
Wn073	2011	0049		"See also U+026A, U+0399, U+0406, U+04C0 and U+2160."		
X152	2012	0196				
Wn074	2013	004A				
Wn075	2014	004B		See also U+212A.		
Wn076	2015	004C		See also U+216C.		
Wn077	2017	004D		See also U+041C and U+216F.		
Wn078	2018	004E				
Wn079	2019	004F		See also U+041E		
Wn080	2020	0050		See also U+0420		
Wn081	2021	0051				
Wn082	2022	0052		See also U+0280.		
Wn083	2023	0053		See also U+0405		
Y049	2024	0283		"Encore glyph SILID 2024 is not substantially different from SILID 1024 . (In fact, 1024 is taller.) It is assumed that either might be used in a font for the character corresponding to U+0283. See also, however, U+01A9. See also U+222B."		
Wn084	2026	0054		See also U+0422		
Wn085	2027	0055				
Y076	2028	01B2				
Wn086	2029	0056		See also U+2164.		
Wn087	2030	0057				
Wn088	2032	0058		See also U+0425 and U+2169.		
Wn089	2033	0059				
Wn090	2034	005A				
Y139	2035	PUA		This is a glyph variant of U+0292.		
V037	2045	0294		See also U+02C0.	0309	
W077	2050	042C				
W125	2051	042A				
W060	2052	0411				
W139	2053	0462				
W083	2054	042B				
W068	2055	0412		See also U+0042 and U+0392.		
W134	2056	0404				
W034	2057	042D				
W080	2058	0417				
W089	2059	041D		See also U+0048 and U+0397.		
W151	2060	04A2				
W062	2061	042E				
W149	2062	040A				
W153	2063	04C7				
W162	2064	04BA				
W157	2065	040B				
W160	2066	0402				
W088	2067	0427				
W170	2068	04B6				
W082	2070	041A				
W058	2071	0416				
W145	2072	049A				
W066	2073	0418				
W155	2074	0472				
W065	2075	0424				
W075	2076	041B				
W147	2077	0409				
W086	2078	041C		See also U+004D		
W071	2079	041F				
W168	2080	040F				
W087	2081	0426				
W076	2082	0414				
W073	2083	0428				
W079	2084	0429				
W085	2085	0413				
W132	2086	0490				
W130	2087	04F6		New in Unicode 4.1.		
W090	2088	042F				
W166	2089	04B2				
W069	2090	0423				
W164	2091	04AE		See also U+0059 and U+03A5.		
W067	2093	0421		See also U+0043.		
W070	2094	0410		See also U+0041 and U+0391.		
W072	2095	0420		See also U+0050 and U+03A1.		
W074	2096	041E		See also U+004F and U+039F.		
W078	2097	0422		See also U+0054 and U+03A4.		
W084	2098	0415		See also U+0045 and U+0395.		
W123	2099	0425		See also U+0058 and U+03A7.		
W183	2100	0405		See also U+0053.		
X046	2102	2C70		New in Unicode 5.2		
X066	2104	0186				
X098	2106	018E				
V119	2110	0427				
Y078	2118	01B1				
V131	2119	0424		See also U+03A6.		
X236	2120	00DE				
X253	2122	PUA		See also U+0281.		
Y096	2129	0245		New in Unicode 5.0		
W136	2157	042D				
W193	2167	04B8				
W179	2170	049C				
W177	2171	0496				
W081	2173	0419				
W175	2185	0492				
W191	2191	04B0				
W189	2193	PUA		"This could be approximated by U+04AA + U+030D, though the combining vertical line above would not necessary appear connected with the base glyph."		
W138	2198	0401		See also U+00CB		
W185	2200	0405 + 0327		See also U+015E		
X067	2204	0186		Encore glyph SILID 2204 is not the same as that normally used for U+0186 since it has the serifed terminal at the top rather than the bottom. The typical glyph for U+0186 is SILID 2104. Unicode does not support a character distinction that corresponds to this distinction in glyphs.		
V125	2217	PUA				
V130	2218	014A				
V135	2221	024A		New in Unicode 5.0
Y063	2226	01AC		"Encore glyph SILID 2226 has the hook on the right, whereas glyphs for U+01AC are typically like SILID 2326 with the hook on the left. Unicode does not support a distinction between 2226 and 2326, however, nor does Encore support a distinction in the lowercase counterparts. If a distinction is needed, 2226 should be mapped to a PUA character."		
Y077	2228	01B2				
Y140	2235	01A9		See also U+03A3.		
W181	2270	04C3				
W187	2300	PUA		"This could perhaps be presented as U+0405 + U+0327 + U+030D, though the combining vertical line above would not necessary appear connected with the base glyph."		
V117	2309	0047				
V129	2318	014A				
Wn140	2319	0152				
V139	2321	0051				
V141	2322	0052		See also U+0280.		
V143	2326	01AC				
X054	2403	0181				
Wn199	2404	00C7				
X081	2405	018A				
X100	2407	2108		See also U+042D.		
X113	2408	0191				
X137	2410	A7AA		New in Unicode 6.1					
X149	2411	0049		"Encore glyph SILID 2411 has serifs independent of typeface. It behaves in this respect as an uppercase counterpart to SILID 1711, which would most likely map to U+026A. Unicode does not support an uppercase counterpart for that character, and it would be problematic due to a lack of visual distinctness from U+0049 in many typefaces. Nevertheless, if 2411 is used as an uppercase counterpart to U+026A, it should be mapped to a PUA character. Alternately, it could be mapped to U+0049. See also U+0399, U+0406, U+04C0 and U+2160."		
X168	2414	0198				
V126	2417	PUA		See also U+2C6E.		
X207	2418	014A				
V133	2420	01A4				
V137	2421	024A		New in Unicode 5.0	
Y034	2422	PUA				
Y062	2426	0166				
Y075	2427	01AF				
Y110	2432	03C7				
Y099	2433	0194				
Y137	2434	PUA				
Wn198	2501	00C6				
X083	2505	00D0				
X114	2508	PUA		Pipelined for U+A798.	
X227	2519	019F		See also U+03F4 and U+04E8.		
Y035	2522	211F				
Y079	2527	0055		"If Encore glyph SILID 2527 is used contrastively with SILID 2027, then it should be mapped to a PUA character."		
Y097	2529	2123				
Y121	2533	01B3		"Encore glyph SILID 2533 has the hook on the right, whereas glyphs for U+01B3 typically have the hook on the left. Unicode does not support a distinction between the characters, however. If a distinction is needed, 2533 should be mapped to a PUA character."		
X047	2601	0040				
X056	2603	03B2				
V114	2604	0187				
V118	2609	0193				
X208	2618	014A				
X226	2619	01A0				
Y036	2622	211E				
Y141	2635	01B7		See also U+021C and U+04E0.		
X209	2718	014A				
X255	2722	2C64		New in Unicode 5.0		
Y098	2729	PUA		See also U+01B2.		
V147	2733	01B3				
V149	2735	01B7		See also U+021C and U+04E0.		
X210	2818	019D				
Y033	2822	2C64		New in Unicode 5.0 This would be an alternate glyph		
X099	2906	018F		See also U+04D8.		
V123	2915	2C60		New in Unicode 5.0		
Y037	2922	024C		New in Unicode 5.0		
X044	3001	1D00	61	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3003 should be mapped to U+0041."		
X053	3003	0299	"42,62"	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3003 should be mapped to U+0042."		
X065	3004	1D04	63	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3003 should be mapped to U+0043."		
X080	3005	1D05	64	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3003 should be mapped to U+0044."		
X097	3006	1D07	65	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3003 should be mapped to U+0045."		
X112	3008	0046	66	"If the small cap attribute is needed for a character distinction, Encore glyph SILID 3008 should be mapped to U+A730. Typically, however, the small cap attribute should be handled using markup / formatting."		
X121	3009	0262	"47,67"	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3009 should be mapped to U+0047."		
X136	3010	029C	"48,68"	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3010 should be mapped to U+0048."		
X147	3011	026A	"49,69"	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3011 should be mapped to U+0049."		
X162	3013	1D0A	6A	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3003 should be mapped to U+004A."		
X167	3014	0138	"4B,6B"	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3014 should be mapped to U+004B."		
X186	3015	029F	"4C,6C"	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3015 should be mapped to U+004C."		
X193	3017	1D0D	6D	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3003 should be mapped to U+004D."		
X205	3018	0274	"4E,6E"	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3018 should be mapped to U+004E."		
X225	3019	1D0F	6F	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3003 should be mapped to U+004F."		
X235	3020	1D18	70	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3003 should be mapped to U+0050."		
X240	3021	0051	71	"If the small cap attribute is needed for a character distinction, Encore glyph SILID 3021 should be mapped to a PUA character. Typically, however, the small cap attribute should be handled using markup / formatting."		
X252	3022	0280	"52,72"	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3022 should be mapped to U+0052."		
Y047	3023	1D74	73	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3003 should be mapped to U+0053."		
Y061	3026	1D1B	74	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3003 should be mapped to U+0054."		
Y073	3027	1D1C	75	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3003 should be mapped to U+0055."		
Y095	3029	1D20	76	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3003 should be mapped to U+0056."		
Y107	3030	1D21	77	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3003 should be mapped to U+0057."		
Y111	3032	0058	78	"If the small cap attribute is needed for a character distinction, Encore glyph SILID 3032 should be mapped to a PUA character. Typically, however, the small cap attribute should be handled using markup / formatting. See also U+2179."		
Y118	3033	028F	"59,79"	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3033 should be mapped to U+0059."		
Y136	3034	1D22	7A	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3003 should be mapped to U+005A."		
Wn193	3101	00C1				
Wn201	3106	00C9				
Wn205	3112	00CD				
Wn211	3119	00D3				
X254	3122	0281		"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3119 should be mapped to a PUA character."		
Wn218	3127	00DA				
Y120	3133	00DD				
Wn192	3201	00C0				
Wn200	3206	00C8				
Wn204	3212	00CC				
Wn210	3219	00D2				
Wn217	3227	00D9				
Wn196	3301	00C4				
Wn203	3306	00CB		See also U+0401		
Wn207	3312	00CF				
X228	3319	0276	"8C,9C"	"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3319 should be mapped to U+0152."		
Wn220	3327	00DC				
Wn159	3333	0178				
Wn194	3401	00C2				
Wn202	3406	00CA				
X150	3411	026A	"49,69"			
Wn206	3412	00CE				
Wn212	3419	00D4				
Wn219	3427	00DB				
Wn195	3501	00C3				
Wn209	3518	00D1				
Wn213	3519	00D5				
Wn197	3601	00C5				
X122	3609	029B		"If the small cap attribute is not being used for a character distinction, Encore glyph SILID 3601 should be mapped to U+0193."		
Wn214	3819	00D6				
Wn225	4101	00E1				
Wn233	4106	00E9				
Wn237	4112	00ED				
Wn243	4119	00F3				
Wn250	4127	00FA				
Y113	4133	00FD				
Wn224	4201	00E0				
Wn232	4206	00E8				
Wn236	4212	00EC				
Wn242	4219	00F2				
Wn249	4227	00F9				
Wn228	4301	00E4				
Wn235	4306	00EB				
Wn239	4312	00EF				
Wn246	4319	00F6				
Wn252	4327	00FC				
Wn255	4333	00FF				
Wn226	4401	00E2				
Wn234	4406	00EA				
Wn238	4412	00EE				
Wn244	4419	00F4				
Wn251	4427	00FB				
Wn227	4501	00E3				
Wn241	4518	00F1				
Wn245	4519	00F5				
Y056	4526	01AD				
Wn229	4601	00E5				
Z111	6001	02DC	7E	"Possible mappings include U+007E, U+02DC and U+223C."	0303	
Z120	6002	02CA	"27,92,B4"	"The appropriate mapping of Encore glyph SILID 6002 depends upon how it is used. The following are preferred: for apostrophe (in contractions), U+2019; for quotation, U+2018 and U+2019 (may use U+201A or U+201B depending upon locale conventions); for indicating primary stress in IPA transcription, U+02C8 (U+02B9 or U+02CA may be preferred typographically in some dictionaries); for glottalization, ejective consonants or orthographic glottal stop, U+02BC; for minutes or feet, U+2032. All potential mappings: apostrophe U+0027; acute accent U+00B4; modifier letter prime U+02B9; modifier letter apostrophe U+02BC; modifier letter vertical line U+02C8; modifier letter acute accent U+02CA; tone marks U+02E5..U+02E9; combining acute accent U+0301; combining turned comma above U+0312; combining comma above U+0313; combining reversed comma above U+0314; combining comma above right U+0315; greek tonos U+0384; right single quotation mark U+2019; prime U+2032."	0301	
Z130	6003	02CB	"60,91"	"Possible mappings include U+0060, U+02CB, U+2018 and U+2035."	0300	
Z141	6004	00A8			0308	
Z157	6005	02C6	5E	"Possible mappings include U+005E, U+02C4, U+02C6, U+2227, U+22C0 and U+2303."	0302	
Z172	6006	02C7			030C	
Z177	6007	02D8			0306	
Z191	6008				0311	
Z099	6009	00AF		"SILID 6009 might be used for U+00AF or U+02C9. The distinctions between Encore glyphs SILIDs 0039, 0123 - 0128, 6009, 6109, 6209, 6309, 6418 - 6431, 6518 - 6531, 8418 - 8431, 8518 - 8531, 9022 - 9025, 9095, 9822 - 9823, 9922 and 9923 are too subtle to make accurate predictions as to what Unicode characters they might have been used to represent."	0304	See also U+0305 and U+033F
Z124	6010	02DD	"22,94"	"The appropriate mapping of Encore glyph SILID 6010 depends upon how it is used. The following are preferred: for quotation, U+201C and U+201D (may use U+201E or U+201F depending upon locale conventions); for emphatic or contrastive stress, U+02BA; for seconds or inches, U+2033.  All potential mappings: quotation mark U+0022; modifier letter double prime U+02BA; double acute accent U+02DD; combining double acute accent U+030B; combining double vertical line above U+030E; right double quotation mark U+201D; double prime U+2033; ditto mark U+3003; double prime quotation mark U+301E."	030B	
Z136	6011	02C8	"27,92"	"U+02C8 is primarily intended for indicating primary stress -- for which purpose it is written before the stressed syllable. Tones can be represented in Unicode using U+02E5..U+02E9. See also U+0027, U+02C8 and U+2019."	030D	"See also U+0312, U+0313, U+0314 and U+0315."
Z197	6012				PUA	See also U+032B.
Z151	6013	02D9			0307	
Z201	6017	02DA	B0	"Possible mappings include U+00B0, U+02DA and U+02DA."	030A	See also U+0325.
Z205	6036	02C8	"27,92"	"U+02C8 is primarily intended for indicating primary stress -- for which purpose it is written before the stressed syllable. Tones can be represented in Unicode using U+02E5..U+02E9. See also U+0027, U+02C8 and U+2019."	030D	"See also U+0312, U+0313, U+0314 and U+0315."
Z211	6037	0022	94	"The appropriate mapping of Encore glyph SILID 6037 depends upon how it is used. The following are preferred: for quotation, U+201C and U+201D (may use U+201E or U+201F depending upon locale conventions); for emphatic or contrastive stress, U+02BA; for seconds or inches, U+2033.  All potential mappings: quotation mark U+0022; modifier letter double prime U+02BA; double acute accent U+02DD; combining double acute accent U+030B; combining double vertical line above U+030E; right double quotation mark U+201D; double prime U+2033; ditto mark U+3003; double prime quotation mark U+301E."	030E	
Z215	6039	207A			PUA	See also U+031F.
Z218	6040				1DC5	New in Unicode 5.0
Z220	6041				1DC6	New in Unicode 5.0
Z230	6043	02C0			0309	
Z163	6044				0302 + 0301	
Z161	6045				0302 + 0306	
Z181	6046				0306 + 0303	
Z165	6047				0302 + 0300	
Z169	6048				0302 + 0303	
Z167	6049				0302 + 0309	
Z183	6050				0306 + 0300	
Z185	6051				0306 + 0301	
Z187	6052				0306 + 0309	
Z115	6054				0303 + 0300	
Z145	6055				0308 + 0301	
Z147	6056				0308 + 0302	
Z117	6057				0303 + 0301	
Z105	6059				0304 + 0308	"This might also be represented by the sequence < U+0305, U+0308 >."
Z107	6060				0304 + 0307	"This might also be represented by the sequence < U+0305, U+0307 >."
Z233	6061	02BC	"27,92,B4"	"The appropriate mapping of Encore glyph SILID 6061 depends upon how it is used. The following are preferred: for apostrophe (in contractions), U+2019; for quotation, U+2018 and U+2019 (may use U+201A or U+201B depending upon locale conventions); for indicating primary stress in IPA transcription, U+02C8 (U+02B9 or U+02CA may be preferred typographically in some dictionaries); for glottalization, ejective consonants or orthographic glottal stop, U+02BC; for minutes or feet, U+2032. All potential mappings: apostrophe U+0027; acute accent U+00B4; modifier letter prime U+02B9; modifier letter apostrophe U+02BC; modifier letter vertical line U+02C8; modifier letter acute accent U+02CA; tone marks U+02E5..U+02E9; combining acute accent U+0301; combining turned comma above U+0312; combining comma above U+0313; combining reversed comma above U+0314; combining comma above right U+0315; greek tonos U+0384; right single quotation mark U+2019; prime U+2032."	0315	See also U+0313.
Z217	6064				033D	
Z134	6069	2036	93	"Possible mappings include U+201D, U+2036 and U+301D"	030F	
Z222	6070				1DC4	New in Unicode 5.0
Z224	6071				1DC7	New in Unicode 5.0
Z226	6072				1DC8	New in Unicode 5.0
Z228	6073				1DC9	New in Unicode 5.0
W174	6074	2D8			0306	
Z112	6101	02DC	7E	"Possible mappings include U+007E, U+02DC and U+223C."	0303	
Z121	6102	02CA	"27,92,B4"	"The appropriate mapping of Encore glyph SILID 6102 depends upon how it is used. The following are preferred: for apostrophe (in contractions), U+2019; for quotation, U+2018 and U+2019 (may use U+201A or U+201B depending upon locale conventions); for indicating primary stress in IPA transcription, U+02C8 (U+02B9 or U+02CA may be preferred typographically in some dictionaries); for glottalization, ejective consonants or orthographic glottal stop, U+02BC; for minutes or feet, U+2032. All potential mappings: apostrophe U+0027; acute accent U+00B4; modifier letter prime U+02B9; modifier letter apostrophe U+02BC; modifier letter vertical line U+02C8; modifier letter acute accent U+02CA; tone marks U+02E5..U+02E9; combining acute accent U+0301; combining turned comma above U+0312; combining comma above U+0313; combining reversed comma above U+0314; combining comma above right U+0315; greek tonos U+0384; right single quotation mark U+2019; prime U+2032."	0301	
